layer,prompt_format,mean,median,count
0,multiple_choice,-4707.425,-12429.5,40
0,open_ended,-6916.7,-16743.5,40
1,multiple_choice,-2504.325,-17174.0,40
1,open_ended,2390.15,-10555.0,40
2,multiple_choice,1815.575,-3546.0,40
2,open_ended,1524.675,-6502.0,40
3,multiple_choice,-1374.875,-3693.0,40
3,open_ended,16.85,797.0,40
4,multiple_choice,3597.275,4660.0,40
4,open_ended,-560.425,5523.5,40
5,multiple_choice,-13441.525,-10859.5,40
5,open_ended,-15798.525,-2637.5,40
6,multiple_choice,-9320.5,6028.5,40
6,open_ended,-5359.925,827.0,40
7,multiple_choice,-4774.2,4220.0,40
7,open_ended,-5630.75,1305.5,40
8,multiple_choice,-556.25,470.5,40
8,open_ended,-1440.075,2104.0,40
9,multiple_choice,10371.425,8876.5,40
9,open_ended,5093.025,3086.0,40
10,multiple_choice,6450.95,-2178.0,40
10,open_ended,1556.15,-4737.5,40
11,multiple_choice,3116.4,-920.0,40
11,open_ended,-672.65,-3833.5,40
12,multiple_choice,2502.175,-1514.0,40
12,open_ended,2719.2,-1278.0,40
13,multiple_choice,3282.525,-6804.0,40
13,open_ended,362.75,-8628.5,40
14,multiple_choice,-6721.8,-18683.0,40
14,open_ended,-65.025,-12222.0,40
15,multiple_choice,-33063.375,-52520.0,40
15,open_ended,-989.35,-8943.5,40
16,multiple_choice,-40198.575,-40016.5,40
16,open_ended,-2365.25,-1788.0,40
17,multiple_choice,-37437.3,-41209.5,40
17,open_ended,-3123.075,-2768.5,40
18,multiple_choice,-38756.675,-81496.0,40
18,open_ended,-2017.65,-1403.5,40
19,multiple_choice,-22237.675,-14460.5,40
19,open_ended,-339.625,-3.5,40
20,multiple_choice,-9797.825,-4320.0,40
20,open_ended,359.125,-1.0,40
21,multiple_choice,-9643.175,-3405.5,40
21,open_ended,630.05,-4.0,40
22,multiple_choice,-6954.425,-2758.0,40
22,open_ended,668.45,-2.5,40
